Station,Country,Longitude,Latitude,Average,Model_Raw,Residual_Raw,Model_matched_2015_to_2024,Residual_matched_2015_to_2024,Model_matched_2022_to_2024,Residual_matched_2022_to_2024,Model_matched_2023_to_2024,Residual_matched_2023_to_2024
BG0051A,BG,24.7652,42.1429,17.488,7.724216938018799,-9.7637830619812,23.525453567504883,6.037453567504883,7.158145904541016,-10.329854095458984,2.377558946609497,-15.110441053390502
BG0052A,BG,23.4002,42.6665,24.685,10.414877891540527,-14.270122108459471,30.7762393951416,6.091239395141603,19.531917572021484,-5.153082427978514,16.64006805419922,-8.04493194580078
BG0057A,BG,25.6912,43.1265,19.685,3.277453899383545,-16.407546100616454,14.235252380371094,-5.449747619628905,19.13380241394043,-0.551197586059569,19.387100219726562,-0.2978997802734362
BG0058A,BG,23.0978,42.0019,15.936,5.249147891998291,-10.686852108001709,17.76797103881836,1.8319710388183594,17.37740707397461,1.4414070739746094,12.575711250305176,-3.360288749694824
BG0075A,BG,27.9157,43.2244,26.027,5.586460113525391,-20.44053988647461,8.987494468688965,-17.039505531311036,33.174476623535156,7.147476623535155,32.39415740966797,6.367157409667968
CH0002R,CH,6.9445,46.8131,8.227,4.227734565734863,-3.999265434265137,7.9561381340026855,-0.27086186599731477,9.600897789001465,1.3738977890014645,9.656462669372559,1.4294626693725583
CH0003R,CH,8.9047,47.4798,7.316,4.8900651931762695,-2.4259348068237303,7.24320650100708,-0.07279349899291976,9.230378150939941,1.9143781509399416,8.932477951049805,1.6164779510498049
CH0004R,CH,6.9792,47.0495,2.61,3.1074092388153076,0.49740923881530774,3.781492233276367,1.1714922332763673,3.4079558849334717,0.7979558849334718,3.723829984664917,1.1138299846649171
CH0005A,CH,8.6134,47.4029,16.242,10.621099472045898,-5.620900527954102,15.19153118133545,-1.0504688186645517,19.40256118774414,3.1605611877441397,18.1997013092041,1.9577013092041007
CH0005R,CH,8.4633,47.0674,3.034,7.180325508117676,4.146325508117676,4.049477577209473,1.0154775772094728,4.417629718780518,1.3836297187805178,4.662376403808594,1.628376403808594
CH0008A,CH,7.5833,47.5411,12.551,10.739974975585938,-1.8110250244140627,12.822531700134277,0.2715317001342772,14.09215259552002,1.5411525955200194,16.841047286987305,4.2900472869873045
CH0010A,CH,8.5304,47.3776,17.177,17.06688117980957,-0.11011882019042929,20.242538452148438,3.065538452148438,20.358137130737305,3.181137130737305,19.790931701660156,2.6139317016601566
CH0011A,CH,8.9571,46.0111,18.89,8.994405746459961,-9.89559425354004,13.950263977050781,-4.939736022949219,19.708017349243164,0.8180173492431635,18.844825744628906,-0.04517425537109432
CH0017A,CH,7.5821,47.5659,14.95,10.739974975585938,-4.210025024414062,12.822531700134277,-2.127468299865722,14.09215259552002,-0.8578474044799798,16.841047286987305,1.8910472869873054
CH0019A,CH,9.3944,47.4067,3.993,7.0741472244262695,3.0811472244262696,4.558077812194824,0.5650778121948243,4.884858131408691,0.8918581314086915,4.244280815124512,0.25128081512451184
CH0022A,CH,8.3007,47.0677,12.804,11.552163124084473,-1.2518368759155276,14.173901557922363,1.369901557922363,14.076828002929688,1.2728280029296872,15.111496925354004,2.3074969253540036
CH0024A,CH,7.1483,46.139,11.648,3.4931886196136475,-8.154811380386352,11.081314086914062,-0.5666859130859372,12.300869941711426,0.6528699417114261,12.343780517578125,0.6957805175781253
CH0033A,CH,8.9339,46.1603,13.029,5.749344825744629,-7.279655174255371,9.871259689331055,-3.1577403106689452,14.826774597167969,1.7977745971679688,12.953392028808594,-0.07560797119140616
CH0043A,CH,8.9673,46.0255,15.896,8.994405746459961,-6.90159425354004,13.950263977050781,-1.9457360229492195,19.708017349243164,3.8120173492431633,18.844825744628906,2.9488257446289055
CH0050A,CH,6.0742,46.2311,10.989,4.834601879119873,-6.154398120880128,10.836641311645508,-0.15235868835449295,12.201016426086426,1.212016426086425,12.292038917541504,1.3030389175415031
CH0051A,CH,6.0052,46.1626,7.501,6.055392265319824,-1.4456077346801761,6.464208126068115,-1.036791873931885,8.951800346374512,1.4508003463745114,8.12678337097168,0.6257833709716794
CY0002R,CY,33.0578,35.038,2.402,1.0002659559249878,-1.4017340440750123,1.4647722244262695,-0.9372277755737306,3.1851730346679688,0.7831730346679686,2.3628339767456055,-0.039166023254394666
CZ0AKOB,CZ,14.4676,50.1222,15.445,12.243158340454102,-3.2018416595458987,18.576549530029297,3.1315495300292966,18.246116638183594,2.8011166381835935,16.414791107177734,0.9697911071777341
CZ0ALIB,CZ,14.4459,50.0073,11.392,17.556577682495117,6.164577682495118,23.19869041442871,11.806690414428711,21.73192024230957,10.33992024230957,18.507030487060547,7.115030487060547
CZ0AREP,CZ,14.4292,50.0881,22.777,17.556577682495117,-5.220422317504884,23.19869041442871,0.4216904144287099,21.73192024230957,-1.0450797576904307,18.507030487060547,-4.269969512939454
CZ0ARIE,CZ,14.4427,50.0815,17.159,17.556577682495117,0.39757768249511827,23.19869041442871,6.039690414428712,21.73192024230957,4.572920242309571,18.507030487060547,1.348030487060548
