experiment,role,Country,N,RMSE,MAE,Bias,R,R2corr,R2true
matched_2022_to_2024,temporal_gap,PL,62,2.301481938413656,1.539788172906445,0.9121995594578405,0.9469965459770566,0.8968024580924755,0.7835442806641991
matched_2022_to_2024,temporal_gap,PT,14,2.6403911705940977,1.8268411359786987,1.3355245711462835,0.9294308472588684,0.863841699836338,0.7515873771308741
matched_2022_to_2024,temporal_gap,SE,9,0.6655377917798609,0.5450889424482982,0.5428366565439435,0.9960609124684486,0.9921373413474784,0.9671308669235986
matched_2022_to_2024,temporal_gap,TR,24,8.783488552809205,5.679178581873575,-3.6841853564580282,0.8944518015165908,0.8000440252362747,0.7545396428387207
matched_2023_to_2024,temporal_gap,AD,1,2.2964530792236317,2.2964530792236317,-2.2964530792236317,,,
matched_2023_to_2024,temporal_gap,AT,80,1.5851974277736516,1.100158259510994,0.30377411792278297,0.9448316638652571,0.8927068730423902,0.8834333274322999
matched_2023_to_2024,temporal_gap,BE,29,1.4914664573772873,1.1925822678270013,1.1601867231829415,0.9897599443570262,0.9796247474536236,0.9259620547643697
matched_2023_to_2024,temporal_gap,BG,10,6.57707639230328,4.972277174949645,-1.2329889364242554,0.6300819003855236,0.39700320119343285,0.033027383348313344
matched_2023_to_2024,temporal_gap,CH,16,1.9016280984306495,1.549616444468498,1.5345186661481856,0.979004169769001,0.9584491644250909,0.8531727653476435
matched_2023_to_2024,temporal_gap,CY,1,0.039166023254394666,0.039166023254394666,-0.039166023254394666,,,
matched_2023_to_2024,temporal_gap,CZ,36,2.10038091078156,1.3207306223445472,0.3784163125885859,0.897724393653563,0.8059090869606574,0.7958625136056071
matched_2023_to_2024,temporal_gap,DE,220,1.3193367064258632,0.9683560120669278,0.8644515702507712,0.9859041238854704,0.972006941494377,0.9224858693646569
matched_2023_to_2024,temporal_gap,DK,1,1.2094551620483402,1.2094551620483402,1.2094551620483402,,,
matched_2023_to_2024,temporal_gap,EE,5,0.35257541582758367,0.292373595046997,-0.03234338874816904,0.9938412034604083,0.9877203376956326,0.9850409503390277
matched_2023_to_2024,temporal_gap,ES,124,2.50261105069398,1.6036687236216762,1.178000457340671,0.9665770584422388,0.9342712099068512,0.8776843097903761
matched_2023_to_2024,temporal_gap,FI,2,0.11557502820421865,0.1136982476711273,0.1136982476711273,0.9999999999999999,0.9999999999999998,-2.5897842366046597
matched_2023_to_2024,temporal_gap,FR,136,2.293711483492115,1.867574462687268,1.8045877452948513,0.9703589524118755,0.9415964965258725,0.7743091989155312
matched_2023_to_2024,temporal_gap,GR,3,1.099427379264819,1.004503285725912,0.017114349365234816,0.9952940451643211,0.9906102363395576,0.9721122859293925
matched_2023_to_2024,temporal_gap,HR,1,0.057336273193360654,0.057336273193360654,0.057336273193360654,,,
matched_2023_to_2024,temporal_gap,HU,3,1.0898641400115576,1.0599046783447268,0.32272108968098934,0.8477041692479478,0.7186023585603533,0.5342476607830592
matched_2023_to_2024,temporal_gap,IE,4,1.8054705369078847,1.260354946136475,1.260354946136475,0.9874168637663793,0.9749920628502324,0.6941338676223499
matched_2023_to_2024,temporal_gap,IT,194,2.1626522609560013,1.594983452501985,0.9165328954028098,0.9617989697246337,0.9250572581633669,0.8867928501409578
matched_2023_to_2024,temporal_gap,LT,4,1.591329218858068,1.1014069176316261,-0.3328128775954248,0.9634663336379804,0.9282673760538122,0.9242373424296331
matched_2023_to_2024,temporal_gap,LU,5,3.8383682690577032,2.324877680587769,-2.265025297164917,0.8076879829196714,0.6523598777528473,0.34115419137014147
matched_2023_to_2024,temporal_gap,LV,1,0.40139508533477786,0.40139508533477786,0.40139508533477786,,,
matched_2023_to_2024,temporal_gap,NL,42,1.308234865413561,0.9747899238041471,0.48692925544012167,0.9637435207277024,0.9288015737446274,0.9172081135259175
matched_2023_to_2024,temporal_gap,NO,4,0.22363990779010592,0.19130599880218496,0.19130599880218496,0.9994557214074954,0.9989117390541771,0.995912279995397
matched_2023_to_2024,temporal_gap,PL,62,1.051038035517872,0.7850357562649636,0.26795266206802854,0.9793647637661289,0.9591553405066855,0.9548569613138811
matched_2023_to_2024,temporal_gap,PT,14,2.514547299104366,1.5933320973941254,1.2310372456823073,0.939416617311068,0.8825035808801696,0.7747023119497499
matched_2023_to_2024,temporal_gap,SE,9,0.8414054645744032,0.6552973445256551,0.648935311741299,0.9960134112846433,0.9920427154588719,0.9474644282138219
matched_2023_to_2024,temporal_gap,TR,24,7.580995913209919,5.457359748204548,-1.0445129578908283,0.9060074823372473,0.8208495580510774,0.8171479609909367
raw_2024,baseline,AD,1,25.442295810222625,25.442295810222625,-25.442295810222625,,,
raw_2024,baseline,AT,80,6.2349462007128045,5.204562121617793,-5.11995661457777,0.6523751078690707,0.42559328136718166,-0.803321259135938
raw_2024,baseline,BE,29,2.425780908092501,1.8645077586996146,0.8065076499149718,0.9409206653995881,0.8853316985760036,0.8041468669485226
raw_2024,baseline,BG,10,14.393636295709742,13.08336570930481,-13.08336570930481,0.4464847014873088,0.19934858866221125,-3.631156447484371
raw_2024,baseline,CH,16,5.049786906568678,4.18660308766365,-3.220992841243744,0.6285315443573378,0.39505190225222014,-0.035384243089756406
raw_2024,baseline,CY,1,1.4017340440750123,1.4017340440750123,-1.4017340440750123,,,
raw_2024,baseline,CZ,36,5.866296716994538,4.937386896663242,-4.487016896883647,0.6362030003065925,0.4047542575991101,-0.5924092414591284
raw_2024,baseline,DE,220,4.477035401904316,3.2917129983078346,-2.270377808419141,0.6904844302827908,0.47676874846295025,0.10741281635606859
raw_2024,baseline,DK,1,0.9010384979248043,0.9010384979248043,-0.9010384979248043,,,
raw_2024,baseline,EE,5,1.6353448503640318,1.07465474319458,-1.035153914642334,0.9868813219050658,0.9739347435250901,0.6781758389392876
raw_2024,baseline,ES,124,10.440871759351268,5.4045692043266,0.37994609244023614,0.6600865300354958,0.43571422713430147,-1.1289672344473356
raw_2024,baseline,FI,2,0.25189095960741037,0.25166192293167117,-0.25166192293167117,0.9999999999999999,0.9999999999999998,-16.051613956447746
raw_2024,baseline,FR,136,5.774987175250268,4.361214051800616,-1.5392286086994058,0.697133129976068,0.48599460091022934,-0.4306662381782862
raw_2024,baseline,GR,3,14.080450847557726,9.115129697163901,8.040823010762532,0.8589528710315956,0.7378000346534208,-3.574176755262525
raw_2024,baseline,HR,1,17.841014442443846,17.841014442443846,-17.841014442443846,,,
raw_2024,baseline,HU,3,8.577232118775456,8.182304694493611,-8.182304694493611,-0.9177913776849852,0.8423410129529032,-27.847265051364047
raw_2024,baseline,IE,4,4.721249432980892,4.05436385011673,-0.10449825716018646,0.881486875915151,0.7770191124106527,-1.0915317977139813
raw_2024,baseline,IT,194,9.542712877237804,7.474180960768278,-4.816528818253389,0.4371571902447268,0.1911064089826643,-1.2041654123635346
raw_2024,baseline,LT,4,5.381388752319607,3.2138489601612092,-2.4739503657817843,0.5766006519255846,0.3324683118010092,0.1335891954694972
raw_2024,baseline,LU,5,5.870040235654635,4.440625205993652,-4.440625205993652,0.9153041546291264,0.8377816954813397,-0.5408936405110383
raw_2024,baseline,LV,1,0.1115845470428467,0.1115845470428467,0.1115845470428467,,,
raw_2024,baseline,NL,42,6.688476043485509,4.704485585803077,4.513164994830177,0.7890739579674181,0.6226377111423667,-1.1640669463687856
raw_2024,baseline,NO,4,3.6289555636090056,2.648148885726929,-1.5020316801071167,0.46719622591887766,0.21827231351284299,-0.07633095832223447
raw_2024,baseline,PL,62,6.309668462133452,5.457658694390327,-5.149466544643525,0.6830197992436269,0.4665160461588044,-0.6269230182143277
raw_2024,baseline,PT,14,6.1278277100832135,4.345800709451948,0.26106028406960646,0.6679275282132644,0.44612718294508114,-0.3379818096867815
raw_2024,baseline,SE,9,4.176254106949263,2.4469340337382426,1.5190380384922029,0.7442803431821198,0.553953229247294,-0.2942454246381798
raw_2024,baseline,TR,24,19.707398776011402,14.856345137675603,-11.895323157866793,0.5157921090054887,0.2660414997123299,-0.2356796419474716
