Station,Country,Longitude,Latitude,Average,Model_Raw,Interpolated_Bias,Model_Corrected,Residual,Active
CZ0TOFF,CZ,18.2637,49.8392,23.268,12.863958358764648,9.540335447373918,22.40429380613857,-0.8637061938614323,0
SE00186,SE,18.299,63.053,0.661,1.169905185699463,-1.1761582269492314,-0.0062530412497685,-0.6672530412497686,0
CZ0TVER,CZ,18.4229,49.9247,17.066,9.422207832336426,10.123052971655069,19.545260803991493,2.479260803991494,0
CZ0TCTN,CZ,18.6097,49.749,23.566,9.67685890197754,9.397840940827802,19.07469984280534,-4.491300157194658,0
CZ0TTRK,CZ,18.643,49.6724,15.788,8.798334121704102,9.406765291657017,18.20509941336112,2.417099413361118,0
HU0042A,HU,19.1461,47.5419,26.113,16.735578536987305,7.419651621882354,24.155230158869657,-1.957769841130343,0
HU0022A,HU,19.1842,47.4308,28.323,17.2321834564209,7.407835256987332,24.64001871340823,-3.682981286591769,0
PL0529A,PL,19.1844,50.286,25.764,11.94947624206543,12.27967990271712,24.22915614478255,-1.5348438552174493,0
PL0398A,PL,19.6877,52.5563,16.0,10.691152572631836,8.134165684016985,18.82531825664882,2.8253182566488206,0
PL0136A,PL,19.7098,52.5509,16.964,8.852744102478027,8.153043098129228,17.005787200607255,0.0417872006072563,0
PL0126A,PL,19.9601,49.2936,18.545,2.1897244453430176,9.761369924033218,11.951094369376236,-6.593905630623766,0
PL0176A,PL,19.9698,53.6925,13.363,4.3018035888671875,5.612851588161854,9.914655177029042,-3.4483448229709577,0
ES1992A,ES,2.1151,41.3875,34.535,53.296173095703125,6.966142722635849,60.262315818338976,25.72731581833898,0
ES1679A,ES,2.1874,41.3864,42.346,53.296173095703125,6.956048708861759,60.25222180456488,17.906221804564886,0
ES1453A,ES,2.2095,41.4474,37.429,26.808319091796875,7.920288493841167,34.728607585638045,-2.700392414361957,0
FR12053,FR,2.2302,43.6105,9.081,4.363452911376953,8.49502472453352,12.858477635910472,3.777477635910474,0
ES1892A,ES,2.2379,41.444,40.67,26.808319091796875,8.3951051819392,35.203424273736076,-5.466575726263926,0
FR18035,FR,2.2398,49.8689,14.597,9.194125175476074,4.893260000175536,14.08738517565161,-0.5096148243483896,0
FR04059,FR,2.3617,48.9372,32.629,41.27894592285156,-4.54441204616553,36.73453387668603,4.105533876686032,0
FR04146,FR,2.395,48.8175,34.923,56.03215408325195,-5.060930047111633,50.97122403614032,16.04822403614032,0
FR04149,FR,2.4572,48.7067,22.437,28.389097213745117,-3.983260142351024,24.405837071394092,1.9688370713940913,0
FR18043,FR,2.4744,49.2596,22.825,13.191585540771484,-2.067619701867768,11.123965838903716,-11.701034161096285,0
FR04101,FR,2.5175,48.8164,29.06,29.58118438720703,-4.289930003177619,25.29125438402941,-3.768745615970587,0
BETN029,BE,2.5823,51.0163,10.456,10.973010063171388,1.111313432797273,12.08432349596866,1.62832349596866,0
FR11022,FR,2.88,50.6872,19.711,12.423545837402344,1.6768079158911429,14.100353753293486,-5.610646246706512,0
FR08714,FR,2.9005,42.6955,18.486,7.577521324157715,9.139188913573228,16.716710237730943,-1.769289762269057,0
PL0134A,PL,20.8375,52.1917,22.802,9.62177276611328,10.134013186318256,19.755785952431538,-3.046214047568462,0
PL0138A,PL,21.1475,51.3991,20.165,5.561356067657471,10.463888360385932,16.0252444280434,-4.139755571956599,0
PL0565A,PL,21.2774,50.429,14.731,5.133730888366699,11.056761894008469,16.190492782375166,1.4594927823751664,0
PL0495A,PL,22.0106,50.0242,19.155,6.145791053771973,10.956328250418366,17.10211930419034,-2.0528806958096624,0
PL0151A,PL,22.0544,53.1814,14.759,4.415536403656006,7.88044815912565,12.295984562781657,-2.4630154372183455,0
PL0276A,PL,22.1125,50.5299,13.105,4.774636268615723,10.53049355382296,15.305129822438682,2.200129822438681,0
PL0312A,PL,22.3077,54.3059,7.393,3.3102424144744873,3.5519846586075787,6.862227073082066,-0.5307729269179342,0
PL0149A,PL,23.2299,53.1386,9.022,3.8946824073791504,7.089188943747752,10.983871351126902,1.961871351126902,0
GR0028A,GR,23.6884,38.0208,28.359,32.47126770019531,-5.773064693966576,26.698203006228734,-1.660796993771264,0
LT00012,LT,24.3656,55.725,13.908,6.0631022453308105,0.9459191931539138,7.009021438484725,-6.898978561515275,0
BG0041A,BG,25.5935,42.0564,11.559,7.845903396606445,11.335290194350446,19.18119359095689,7.622193590956892,0
BG0045A,BG,25.9641,43.8514,17.938,8.288084030151367,13.642248269280351,21.93033229943172,3.99233229943172,0
